Volume (%),RD.1.2.246.352.71.7.787609392710.2951235.20220421111147.dcm_original,RTDose_modified.dcm_original
0.030835646006783842,63.825,60.745000000000005
0.13083564600678385,63.770140000000005,60.688785
0.23083564600678386,63.73509333333333,60.64257
0.3308356460067839,63.71014,60.62014
0.43083564600678387,63.69176,60.601760000000006
0.5308356460067838,63.68095,60.5919625
0.6308356460067839,63.66771,60.580420000000004
0.7308356460067839,63.63799,60.55799
0.8308356460067838,63.625186666666664,60.53528
0.9308356460067838,63.61703249999999,60.52968833333333
1.0308356460067838,63.6123,60.524462500000006
1.1308356460067839,63.60869666666667,60.52040875
1.230835646006784,63.605093333333336,60.516355000000004
1.3308356460067838,63.5971025,60.50780333333333
1.430835646006784,63.590196,60.500996666666666
1.5308356460067838,63.58407857142857,60.49559166666667
1.6308356460067839,63.57944571428572,60.490186666666666
1.730835646006784,63.57478166666667,60.48483625
1.8308356460067838,63.56937666666666,60.4807825
1.930835646006784,63.5634575,60.47672874999999
2.030835646006784,63.55535,60.4688
2.130835646006784,63.544485,60.454656666666665
2.230835646006784,63.528270000000006,60.44327
2.330835646006784,63.512055,60.422055
2.430835646006784,63.48292,60.393336
2.530835646006784,63.47481249999999,60.38685
2.630835646006784,63.466705000000005,60.377273333333335
2.730835646006784,63.452194999999996,60.3635975
2.830835646006784,63.44242285714286,60.35549
2.930835646006784,63.43779,60.34992166666667
3.030835646006784,63.4333875,60.344585714285714
3.130835646006784,63.42933375,60.339952857142855
3.230835646006784,63.42528,60.33532
3.330835646006784,63.417452499999996,60.328962000000004
3.430835646006784,63.409345,60.320793333333334
3.530835646006784,63.39998333333333,60.309983333333335
3.630835646006784,63.391504,60.30208666666667
3.730835646006784,63.385018,60.296681666666665
3.830835646006784,63.376915000000004,60.28755333333333
3.930835646006784,63.36674333333333,60.276743333333336
4.030835646006784,63.35593333333334,60.2682
4.130835646006784,63.3475925,60.25845666666666
4.230835646006784,63.340588,60.250588
4.330835646006784,63.3338775,60.2438775
4.430835646006784,63.325770000000006,60.23577
4.530835646006784,63.305324999999996,60.21855
4.630835646006784,63.29411,60.20774
4.730835646006784,63.282158,60.1939475
4.8308356460067845,63.27567200000001,60.18584
4.930835646006784,63.26531,60.179186
5.030835646006784,63.25975,60.172125
5.130835646006784,63.254017499999996,60.1640175
5.230835646006784,63.24591,60.15591
5.3308356460067845,63.2328025,60.14540333333333
5.430835646006784,63.22482571428571,60.13482571428572
5.530835646006784,63.220192857142855,60.13019285714286
5.630835646006784,63.21556,60.12556
5.730835646006784,63.2078725,60.12024833333333
5.8308356460067845,63.20267333333333,60.11489555555555
5.930835646006784,63.19907,60.11129222222222
6.030835646006784,63.19546666666667,60.10768888888889
6.130835646006784,63.1879425,60.100885000000005
6.230835646006784,63.17811333333333,60.08811333333333
6.3308356460067845,63.1692275,60.0792275
6.430835646006784,63.161896,60.07241333333334
6.530835646006784,63.15541,60.067008333333334
6.630835646006784,63.14487333333333,60.05820666666666
6.730835646006784,63.13406333333334,60.04739666666667
6.8308356460067845,63.12412666666667,60.038689999999995
6.930835646006784,63.118721666666666,60.0305825
7.030835646006784,63.10495,60.021633333333334
7.130835646006784,63.092911666666666,60.008734999999994
7.230835646006784,63.08750666666667,60.000008
7.3308356460067845,63.07920333333333,59.991305000000004
7.430835646006784,63.070045,59.981035999999996
7.530835646006784,63.058875,59.97275
7.630835646006784,63.04883,59.96088666666667
7.730835646006784,63.038156,59.955481666666664
7.8308356460067845,63.025184,59.947615
7.930835646006784,63.009015,59.940606
8.030835646006784,62.99686666666667,59.934266666666666
8.130835646006783,62.99052833333334,59.92886166666666
8.230835646006785,62.985123333333334,59.92345666666667
8.330835646006785,62.97707749999999,59.91805166666666
8.430835646006784,62.97098,59.910293333333335
8.530835646006784,62.965575,59.90293125
8.630835646006783,62.95534,59.8988775
8.730835646006785,62.92119666666667,59.89482374999999
8.830835646006785,62.91038666666667,59.89077
8.930835646006784,62.896865,59.886716250000006
9.030835646006784,62.887825,59.88313
9.130835646006783,62.879717500000005,59.879887000000004
9.230835646006785,62.87048,59.876644
9.330835646006785,62.857005,59.87271571428571
9.430835646006784,62.842193333333334,59.86808285714285
9.530835646006784,62.83283,59.85471666666667
9.630835646006785,62.826344000000006,59.84390666666667
9.730835646006785,62.81643,59.83436555555556
9.830835646006785,62.80228666666667,59.830762222222226
9.930835646006784,62.79147666666667,59.82715888888889
10.030835646006784,62.78175,59.82175
10.130835646006785,62.772285000000004,59.8136425
10.230835646006785,62.75904666666666,59.805535
10.330835646006785,62.744855,59.80067285714286
10.430835646006784,62.73182,59.796040000000005
10.530835646006784,62.72328333333333,59.78997
10.630835646006785,62.712473333333335,59.784242
10.730835646006785,62.699995,59.780999
10.830835646006785,62.68752,59.777756000000004
10.930835646006784,62.67671,59.77256500000001
11.030835646006784,62.663175,59.76252857142857
11.130835646006785,62.6550675,59.75789571428571
11.230835646006785,62.64964,59.752568
11.330835646006785,62.64347,59.746082
11.430835646006784,62.63266,59.739596
11.530835646006784,62.62311,59.731849999999994
11.630835646006785,62.616623999999995,59.722623999999996
11.730835646006785,62.6089225,59.716138
11.830835646006785,62.59163,59.69663
11.930835646006784,62.581166,59.68527666666667
12.030835646006784,62.574200000000005,59.67868
12.130835646006785,62.56032333333333,59.662985
12.230835646006785,62.54951333333334,59.652256666666666
12.330835646006785,62.54263875,59.64685166666666
12.430835646006784,62.538585,59.641954285714284
12.530835646006784,62.5340625,59.63732142857143
12.630835646006785,62.525955,59.62960666666667
12.730835646006785,62.51546333333334,59.61879666666666
